Operador,Mortos,Vivos
AddNot,10,0
NumberReplacer,4,0
ReplaceAndWithOr,1,0
ReplaceComparisonOperator_Eq_Gt,2,0
ReplaceComparisonOperator_Eq_GtE,2,0
ReplaceComparisonOperator_Eq_Is,1,1
ReplaceComparisonOperator_Eq_IsNot,4,0
ReplaceComparisonOperator_Eq_Lt,2,0
ReplaceComparisonOperator_Eq_LtE,2,0
ReplaceComparisonOperator_Eq_NotEq,2,0
ReplaceComparisonOperator_Is_IsNot,2,0
ReplaceComparisonOperator_NotEq_Is,5,0
ReplaceFalseWithTrue,3,0
ReplaceTrueWithFalse,2,0
ZeroIterationForLoop,1,0
