Operador,Mortos,Vivos
ASR,1,0
CDI,9,0
COI,10,0
CRP,10,0
LCR,1,0
OIL,5,0
RIL,1,0
ROR,9,0
SDI,9,0
SDL,30,1
SVD,16,0
ZIL,5,0
