1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
533.45;71.41;60.54;81.59;67.48;68.28;68.14;66.14;87.11;66.97;63.24;68.94;70.34;77.31;75.28;108.85
652.64;70.18;62.81;83.54;67.77;70.70;72.03;68.48;99.19;76.32;67.37;73.98;74.04;80.07;78.53;103.26
625.14;129.60;101.21;121.56;103.56;115.52;111.39;109.63;113.06;129.79;99.75;117.21;118.58;130.47;120.50;209.36
248.07;5.27;4.72;5.32;4.84;5.12;5.02;5.00;5.04;5.41;4.56;4.89;5.08;5.72;5.08;6.37
1137.22;75.71;73.53;78.12;88.08;76.60;76.07;76.95;75.47;78.13;73.36;74.62;76.61;82.57;76.08;78.48
5348.46;59.23;51.74;49.04;55.41;46.77;45.63;45.41;46.16;42.72;41.16;46.63;48.07;56.98;48.29;95.82
113.24;12.71;11.62;12.90;16.74;12.61;12.13;12.38;12.24;11.49;11.12;12.37;12.60;14.23;12.84;17.32
728.93;96.30;135.50;99.95;280.91;136.03;95.63;256.16;136.27;295.60;255.19;135.64;296.81;260.50;296.83;299.42
1474.56;19.91;18.36;22.21;18.33;19.91;19.56;19.25;19.63;18.29;17.81;19.32;19.97;22.94;18.99;25.72
2765.78;32.28;20.95;22.99;20.37;24.22;23.47;22.96;23.26;21.20;20.94;24.27;24.92;27.78;23.07;68.03
39.16;4.00;3.77;4.49;3.86;4.04;3.97;4.09;3.89;3.76;3.62;3.75;3.98;4.51;3.72;4.54
2030.78;22.93;19.91;20.72;17.19;20.07;19.31;18.92;19.37;17.68;16.99;19.96;20.20;22.46;18.85;33.79
1273.45;28.90;41.79;34.17;25.54;27.40;27.22;26.51;26.92;25.06;24.63;27.37;27.44;32.08;26.66;41.97
2349.44;34.84;34.72;35.60;31.10;33.64;33.19;32.91;33.27;30.85;30.05;33.05;34.56;38.90;32.38;49.04
95.38;4.45;4.55;4.42;4.23;4.30;4.31;4.48;4.21;4.32;3.94;4.03;4.29;4.66;4.03;4.83
634.97;441.89;445.69;132.06;442.39;446.75;444.14;446.85;444.75;444.62;440.07;445.82;451.79;455.58;443.14;451.36
4050.18;30.64;35.03;30.80;30.33;31.07;31.29;31.45;31.00;30.87;28.78;29.53;32.64;39.25;30.40;36.70
14.62;4.79;4.91;5.17;5.57;4.83;5.01;5.04;4.81;4.58;4.48;4.59;4.96;6.29;4.63;4.97
806.65;343.94;146.80;400.42;341.72;342.26;342.45;348.51;357.80;340.86;343.80;342.54;353.66;366.63;343.69;346.19
1408.57;20.74;21.12;19.84;18.62;20.14;20.37;19.55;20.37;20.08;18.18;19.94;22.36;23.14;19.33;25.76
2.14;1.71;2.02;1.73;1.70;1.71;1.74;1.76;1.73;1.58;1.55;1.60;1.88;1.84;1.57;1.67
