1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
41;41;41;41;41;24;34;28;22;30;26;23;35;31;38;41
27;27;27;27;27;28;30;20;27;25;24;25;27;33;29;27
20;20;20;20;20;29;27;24;21;25;21;30;27;24;18;20
22;22;22;22;22;20;17;21;20;20;16;18;21;17;18;22
35;35;35;35;35;26;31;31;29;30;34;36;27;24;33;35
23;23;23;23;24;24;20;26;25;23;21;21;25;23;27;24
27;27;27;27;27;30;28;24;29;29;20;29;24;34;29;27
30;30;30;30;30;28;33;27;30;27;28;33;30;25;27;30
30;30;30;30;30;26;19;30;27;28;24;33;30;29;30;30
17;17;17;17;17;17;19;23;31;24;20;25;24;22;19;17
21;21;21;21;21;18;20;18;18;20;18;20;19;19;20;21
25;25;25;25;25;22;29;36;30;22;22;21;22;24;23;25
35;35;35;35;35;24;35;28;29;29;22;34;35;37;28;35
25;25;25;25;25;23;18;27;25;24;25;23;27;22;22;25
21;21;21;21;21;18;21;21;16;21;14;16;15;16;20;21
26;24;27;26;24;25;44;39;29;34;39;37;25;37;30;26
33;33;33;33;33;25;33;22;23;32;22;24;26;30;32;33
13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
25;25;26;24;24;32;25;29;28;27;30;22;31;27;31;24
25;25;25;25;25;29;25;32;32;30;28;22;23;21;25;25
17;17;17;17;17;17;17;17;17;17;17;18;17;18;17;17
