Operador,Mortos,Vivos
AddNot,7,0
NumberReplacer,13,3
ReplaceAndWithOr,7,0
ReplaceComparisonOperator_GtE_Eq,6,0
ReplaceComparisonOperator_GtE_Gt,6,0
ReplaceComparisonOperator_GtE_Is,5,0
ReplaceComparisonOperator_GtE_IsNot,5,0
ReplaceComparisonOperator_GtE_Lt,6,0
ReplaceComparisonOperator_GtE_LtE,6,0
ReplaceComparisonOperator_GtE_NotEq,6,0
ReplaceComparisonOperator_Gt_Eq,2,0
ReplaceComparisonOperator_Gt_GtE,2,0
ReplaceComparisonOperator_Gt_Lt,2,0
ReplaceComparisonOperator_Gt_LtE,2,0
ReplaceComparisonOperator_Gt_NotEq,0,2
ReplaceComparisonOperator_LtE_Eq,6,0
ReplaceComparisonOperator_LtE_Gt,6,0
ReplaceComparisonOperator_LtE_GtE,6,0
ReplaceComparisonOperator_LtE_Is,5,0
ReplaceComparisonOperator_LtE_IsNot,5,0
ReplaceComparisonOperator_LtE_Lt,6,0
ReplaceComparisonOperator_LtE_NotEq,6,0
ReplaceComparisonOperator_Lt_Eq,1,0
ReplaceComparisonOperator_Lt_Gt,1,0
ReplaceComparisonOperator_Lt_GtE,1,0
ReplaceComparisonOperator_Lt_Is,1,0
ReplaceComparisonOperator_Lt_IsNot,0,1
ReplaceComparisonOperator_Lt_LtE,1,0
ReplaceComparisonOperator_Lt_NotEq,0,1
ReplaceFalseWithTrue,5,1
ReplaceOrWithAnd,3,0
ReplaceTrueWithFalse,3,0
ReplaceUnaryOperator_Delete_Not,1,0
