Operador,Mortos,Vivos
AddNot,1,0
NumberReplacer,2,0
ReplaceBinaryOperator_Add_BitAnd,1,0
ReplaceBinaryOperator_Add_BitOr,1,0
ReplaceBinaryOperator_Add_BitXor,1,0
ReplaceBinaryOperator_Add_Div,1,0
ReplaceBinaryOperator_Add_FloorDiv,1,0
ReplaceBinaryOperator_Add_LShift,1,0
ReplaceBinaryOperator_Add_Mod,1,0
ReplaceBinaryOperator_Add_Mul,1,0
ReplaceBinaryOperator_Add_Pow,1,0
ReplaceBinaryOperator_Add_RShift,1,0
ReplaceBinaryOperator_Add_Sub,1,0
ReplaceComparisonOperator_Eq_Gt,1,0
ReplaceComparisonOperator_Eq_GtE,1,0
ReplaceComparisonOperator_Eq_Lt,1,0
ReplaceComparisonOperator_Eq_LtE,0,1
ReplaceComparisonOperator_Eq_NotEq,1,0
