project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;63.24;58.69;4.48
binarySearchTree2;binarySearchTree2.py;67.37;62.45;4.09
binarySearchTree3;binarySearchTree3.py;99.75;93.33;6.37
binarySearchTree4;binarySearchTree4.py;4.56;4.26;0.26
identifier1;identifier1.py;73.36;30.45;2.50
linkedList1;linkedList1.py;41.16;38.13;2.88
linkedList2;linkedList2.py;11.12;10.36;0.66
linkedList3;linkedList3.py;255.19;12.99;0.98
linkedList4;linkedList4.py;17.81;16.36;1.32
linkedList5;linkedList5.py;20.94;19.38;1.51
queue1;queue1.py;3.62;3.34;0.25
queue2;queue2.py;16.99;15.58;1.34
queue3;queue3.py;24.63;22.80;1.65
queue4;queue4.py;30.05;27.68;2.16
queue5;queue5.py;3.94;3.61;0.29
sort1;sort1.py;440.07;74.42;4.89
stack1;stack1.py;28.78;26.42;2.15
stack2;stack2.py;4.48;4.03;0.39
stack3;stack3.py;343.80;18.08;2.51
stack4;stack4.py;18.18;16.64;1.40
stack5;stack5.py;1.55;1.42;0.12
