project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;33.09;13.65;0.93
binarySearchTree2;binarySearchTree2.py;28.23;11.56;0.68
binarySearchTree3;binarySearchTree3.py;61.65;25.84;1.61
binarySearchTree4;binarySearchTree4.py;24.62;9.49;0.61
identifier1;identifier1.py;32.49;13.67;0.81
linkedList1;linkedList1.py;30.61;12.35;0.65
linkedList2;linkedList2.py;30.38;12.16;0.81
linkedList3;linkedList3.py;32.98;13.28;0.96
linkedList4;linkedList4.py;43.50;17.69;1.18
linkedList5;linkedList5.py;27.82;10.92;0.70
queue1;queue1.py;24.29;9.54;0.66
queue2;queue2.py;34.59;14.01;0.97
queue3;queue3.py;42.77;17.32;1.08
queue4;queue4.py;27.28;10.94;0.68
queue5;queue5.py;25.66;9.93;0.73
sort1;sort1.py;53.08;21.97;1.27
stack1;stack1.py;36.79;14.92;0.97
stack2;stack2.py;17.96;7.06;0.47
stack3;stack3.py;45.52;18.90;1.01
stack4;stack4.py;23.70;9.78;0.70
stack5;stack5.py;22.36;8.74;0.63
