project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;26;24;2;92.31
binarySearchTree2;binarySearchTree2.py;24;18;6;75.00
binarySearchTree3;binarySearchTree3.py;21;16;5;76.19
binarySearchTree4;binarySearchTree4.py;16;15;1;93.75
identifier1;identifier1.py;34;29;5;85.29
linkedList1;linkedList1.py;21;19;2;90.48
linkedList2;linkedList2.py;20;15;5;75.00
linkedList3;linkedList3.py;28;21;7;75.00
linkedList4;linkedList4.py;24;20;4;83.33
linkedList5;linkedList5.py;20;14;6;70.00
queue1;queue1.py;18;13;5;72.22
queue2;queue2.py;22;16;6;72.73
queue3;queue3.py;22;17;5;77.27
queue4;queue4.py;25;20;5;80.00
queue5;queue5.py;14;12;2;85.71
sort1;sort1.py;39;22;17;56.41
stack1;stack1.py;22;18;4;81.82
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;30;20;10;66.67
stack4;stack4.py;28;18;10;64.29
stack5;stack5.py;17;10;7;58.82
