project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;122.58;112.89;10.71
binarySearchTree2;binarySearchTree2.py;85.35;76.41;9.97
binarySearchTree3;binarySearchTree3.py;333.01;311.62;23.67
binarySearchTree4;binarySearchTree4.py;11.07;9.31;1.95
identifier1;identifier1.py;23.22;19.56;4.08
linkedList1;linkedList1.py;83.66;75.35;9.20
linkedList2;linkedList2.py;44.26;40.36;4.34
linkedList3;linkedList3.py;36.46;32.12;4.83
linkedList4;linkedList4.py;44.49;40.82;4.10
linkedList5;linkedList5.py;77.52;68.55;9.57
queue1;queue1.py;12.14;10.16;2.20
queue2;queue2.py;80.82;72.90;8.80
queue3;queue3.py;74.72;66.33;9.32
queue4;queue4.py;64.96;58.22;7.54
queue5;queue5.py;8.57;7.08;1.65
sort1;sort1.py;28.53;24.50;4.54
stack1;stack1.py;30.87;26.66;4.73
stack2;stack2.py;5.95;4.89;1.17
stack3;stack3.py;48.85;43.35;6.16
stack4;stack4.py;47.96;43.73;4.72
stack5;stack5.py;6.50;5.47;1.14
