project;filename;mutants;killed;incompetent;timeout;survived;mutation score
binarySearchTree1;binarySearchTree1.py;239;142;39;9;49;79.50
binarySearchTree2;binarySearchTree2.py;248;121;41;0;86;65.32
binarySearchTree3;binarySearchTree3.py;511;278;79;4;150;70.65
binarySearchTree4;binarySearchTree4.py;53;36;12;0;5;90.57
identifier1;identifier1.py;100;76;4;0;20;80.00
linkedList1;linkedList1.py;221;130;43;3;45;79.64
linkedList2;linkedList2.py;106;73;18;3;12;88.68
linkedList3;linkedList3.py;121;70;24;2;25;79.34
linkedList4;linkedList4.py;110;75;22;4;9;91.82
linkedList5;linkedList5.py;136;97;18;9;12;91.18
queue1;queue1.py;67;36;23;0;8;88.06
queue2;queue2.py;186;120;35;5;26;86.02
queue3;queue3.py;222;153;44;1;24;89.19
queue4;queue4.py;198;124;36;1;37;81.31
queue5;queue5.py;48;30;14;0;4;91.67
sort1;sort1.py;115;30;21;1;63;45.22
stack1;stack1.py;129;76;16;0;37;71.32
stack2;stack2.py;29;18;8;0;3;89.66
stack3;stack3.py;155;94;33;2;26;83.23
stack4;stack4.py;122;75;25;4;18;85.25
stack5;stack5.py;35;21;11;0;3;91.43
