project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;89.13;85.29;4.13
binarySearchTree2;binarySearchTree2.py;46.97;43.24;4.17
binarySearchTree3;binarySearchTree3.py;221.55;210.61;11.85
binarySearchTree4;binarySearchTree4.py;5.47;4.71;0.84
identifier1;identifier1.py;11.11;9.60;1.69
linkedList1;linkedList1.py;64.91;61.17;4.19
linkedList2;linkedList2.py;35.72;33.79;2.20
linkedList3;linkedList3.py;25.59;23.58;2.27
linkedList4;linkedList4.py;34.37;32.67;1.93
linkedList5;linkedList5.py;65.67;60.10;5.58
queue1;queue1.py;6.87;5.91;1.07
queue2;queue2.py;61.89;58.13;4.25
queue3;queue3.py;46.41;42.79;4.05
queue4;queue4.py;43.58;40.65;3.28
queue5;queue5.py;4.45;3.84;0.68
sort1;sort1.py;25.46;23.51;2.18
stack1;stack1.py;23.44;21.28;2.43
stack2;stack2.py;3.42;2.85;0.64
stack3;stack3.py;62.85;59.10;4.15
stack4;stack4.py;39.92;37.77;2.41
stack5;stack5.py;4.33;3.78;0.61
