project;filename;line coverage;branch coverage
binarySearchTree1;binarySearchTree1.py;84.91;70.97
binarySearchTree2;binarySearchTree2.py;69.63;68.52
binarySearchTree3;binarySearchTree3.py;80.42;73.28
binarySearchTree4;binarySearchTree4.py;100.00;100.00
identifier1;identifier1.py;100.00;100.00
linkedList1;linkedList1.py;90.09;94.74
linkedList2;linkedList2.py;98.08;90.91
linkedList3;linkedList3.py;89.83;83.33
linkedList4;linkedList4.py;100.00;100.00
linkedList5;linkedList5.py;100.00;100.00
queue1;queue1.py;100.00;100.00
queue2;queue2.py;93.33;83.33
queue3;queue3.py;99.11;94.44
queue4;queue4.py;90.72;94.44
queue5;queue5.py;100.00;100.00
sort1;sort1.py;74.14;61.54
stack1;stack1.py;93.94;91.67
stack2;stack2.py;100.00;100.00
stack3;stack3.py;91.89;83.33
stack4;stack4.py;100.00;100.00
stack5;stack5.py;100.00;100.00
