project;filename;mutants;killed;incompetent;timeout;survived;mutation score
binarySearchTree1;binarySearchTree1.py;239;141;37;9;52;78.24
binarySearchTree2;binarySearchTree2.py;248;108;44;0;96;61.29
binarySearchTree3;binarySearchTree3.py;511;263;75;4;169;66.93
binarySearchTree4;binarySearchTree4.py;53;36;12;0;5;90.57
identifier1;identifier1.py;100;73;4;0;23;77.00
linkedList1;linkedList1.py;221;118;41;3;59;73.30
linkedList2;linkedList2.py;106;68;18;4;16;84.91
linkedList3;linkedList3.py;121;63;24;2;32;73.55
linkedList4;linkedList4.py;110;72;22;4;12;89.09
linkedList5;linkedList5.py;136;96;18;8;14;89.71
queue1;queue1.py;67;30;23;0;14;79.10
queue2;queue2.py;186;115;35;6;30;83.87
queue3;queue3.py;222;143;45;1;33;85.14
queue4;queue4.py;198;113;36;2;47;76.26
queue5;queue5.py;48;29;14;0;5;89.58
sort1;sort1.py;115;28;17;0;70;39.13
stack1;stack1.py;129;61;16;0;52;59.69
stack2;stack2.py;29;18;8;0;3;89.66
stack3;stack3.py;155;91;32;2;30;80.65
stack4;stack4.py;122;71;24;4;23;81.15
stack5;stack5.py;35;19;11;0;5;85.71
