project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;35;33;2;94.29
binarySearchTree2;binarySearchTree2.py;27;16;11;59.26
binarySearchTree3;binarySearchTree3.py;27;20;7;74.07
binarySearchTree4;binarySearchTree4.py;21;21;0;100.00
identifier1;identifier1.py;27;23;4;85.19
linkedList1;linkedList1.py;25;20;5;80.00
linkedList2;linkedList2.py;24;18;6;75.00
linkedList3;linkedList3.py;30;23;7;76.67
linkedList4;linkedList4.py;30;22;8;73.33
linkedList5;linkedList5.py;24;22;2;91.67
queue1;queue1.py;19;17;2;89.47
queue2;queue2.py;22;13;9;59.09
queue3;queue3.py;35;23;12;65.71
queue4;queue4.py;27;24;3;88.89
queue5;queue5.py;15;9;6;60.00
sort1;sort1.py;25;10;15;40.00
stack1;stack1.py;26;14;12;53.85
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;31;25;6;80.65
stack4;stack4.py;23;14;9;60.87
stack5;stack5.py;17;10;7;58.82
