project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;52.76;21.97;1.25
binarySearchTree2;binarySearchTree2.py;33.95;13.92;0.92
binarySearchTree3;binarySearchTree3.py;51.86;21.02;1.41
binarySearchTree4;binarySearchTree4.py;30.26;12.12;0.80
identifier1;identifier1.py;39.38;15.95;1.18
linkedList1;linkedList1.py;37.21;15.34;0.91
linkedList2;linkedList2.py;47.15;19.33;1.31
linkedList3;linkedList3.py;38.37;15.51;0.93
linkedList4;linkedList4.py;40.08;16.20;1.06
linkedList5;linkedList5.py;41.59;17.14;0.95
queue1;queue1.py;24.67;9.87;0.68
queue2;queue2.py;49.05;20.43;1.25
queue3;queue3.py;38.07;15.66;1.07
queue4;queue4.py;36.56;14.69;0.92
queue5;queue5.py;24.99;9.64;0.76
sort1;sort1.py;44.58;18.53;1.08
stack1;stack1.py;48.38;19.57;1.31
stack2;stack2.py;17.58;6.97;0.50
stack3;stack3.py;45.90;18.98;1.01
stack4;stack4.py;33.93;13.66;1.01
stack5;stack5.py;21.97;9.01;0.66
