project;filename;mutants;killed;incompetent;timeout;survived;mutation score
binarySearchTree1;binarySearchTree1.py;239;144;37;9;49;79.50
binarySearchTree2;binarySearchTree2.py;248;115;47;0;86;65.32
binarySearchTree3;binarySearchTree3.py;511;275;79;4;153;70.06
binarySearchTree4;binarySearchTree4.py;53;36;12;0;5;90.57
identifier1;identifier1.py;100;75;4;0;21;79.00
linkedList1;linkedList1.py;221;130;41;3;47;78.73
linkedList2;linkedList2.py;106;72;18;4;12;88.68
linkedList3;linkedList3.py;121;70;24;2;25;79.34
linkedList4;linkedList4.py;110;75;22;4;9;91.82
linkedList5;linkedList5.py;136;96;18;9;13;90.44
queue1;queue1.py;67;33;23;0;11;83.58
queue2;queue2.py;186;118;36;6;26;86.02
queue3;queue3.py;222;152;44;1;25;88.74
queue4;queue4.py;198;120;37;2;39;80.30
queue5;queue5.py;48;30;14;0;4;91.67
sort1;sort1.py;115;30;20;1;64;44.35
stack1;stack1.py;129;74;16;0;39;69.77
stack2;stack2.py;29;18;8;0;3;89.66
stack3;stack3.py;155;89;33;7;26;83.23
stack4;stack4.py;122;73;25;4;20;83.61
stack5;stack5.py;35;21;11;0;3;91.43
