project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;355.27;116.71;4.97
binarySearchTree2;binarySearchTree2.py;303.05;99.74;4.85
binarySearchTree3;binarySearchTree3.py;899.18;299.70;11.57
binarySearchTree4;binarySearchTree4.py;49.30;15.62;0.92
identifier1;identifier1.py;140.13;47.75;2.53
linkedList1;linkedList1.py;471.59;155.41;5.61
linkedList2;linkedList2.py;127.17;41.14;2.06
linkedList3;linkedList3.py;108.76;36.02;2.08
linkedList4;linkedList4.py;115.43;37.62;1.95
linkedList5;linkedList5.py;415.58;138.76;3.80
queue1;queue1.py;55.43;18.81;1.07
queue2;queue2.py;305.54;103.34;4.27
queue3;queue3.py;313.37;104.15;5.02
queue4;queue4.py;232.41;77.35;3.68
queue5;queue5.py;46.38;14.90;1.05
sort1;sort1.py;150.11;49.18;2.61
stack1;stack1.py;148.89;49.16;2.96
stack2;stack2.py;15.12;4.84;0.36
stack3;stack3.py;202.47;65.19;3.09
stack4;stack4.py;120.25;40.39;2.28
stack5;stack5.py;19.37;6.36;0.44
