project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;44.34;43.29;2.39
binarySearchTree2;binarySearchTree2.py;45.65;44.07;2.66
binarySearchTree3;binarySearchTree3.py;129.29;125.15;6.18
binarySearchTree4;binarySearchTree4.py;7.05;6.70;0.52
identifier1;identifier1.py;21.05;19.92;1.43
linkedList1;linkedList1.py;63.50;61.82;3.09
linkedList2;linkedList2.py;19.14;18.37;1.18
linkedList3;linkedList3.py;24.34;23.25;1.36
linkedList4;linkedList4.py;17.45;16.72;1.06
linkedList5;linkedList5.py;59.61;58.79;1.97
queue1;queue1.py;9.33;8.93;0.59
queue2;queue2.py;40.99;39.61;2.30
queue3;queue3.py;47.27;45.62;2.65
queue4;queue4.py;34.99;33.67;2.12
queue5;queue5.py;6.88;6.62;0.41
sort1;sort1.py;22.01;20.87;1.47
stack1;stack1.py;23.36;22.29;1.60
stack2;stack2.py;2.31;2.15;0.18
stack3;stack3.py;27.53;26.40;1.53
stack4;stack4.py;17.33;16.58;1.09
stack5;stack5.py;2.83;2.63;0.22
