project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;81.59;76.67;5.03
binarySearchTree2;binarySearchTree2.py;83.54;78.48;4.78
binarySearchTree3;binarySearchTree3.py;121.56;114.26;7.30
binarySearchTree4;binarySearchTree4.py;5.32;4.91;0.37
identifier1;identifier1.py;78.12;34.74;2.66
linkedList1;linkedList1.py;49.04;45.58;3.30
linkedList2;linkedList2.py;12.90;11.96;0.87
linkedList3;linkedList3.py;99.95;18.56;1.17
linkedList4;linkedList4.py;22.21;20.54;1.55
linkedList5;linkedList5.py;22.99;21.27;1.67
queue1;queue1.py;4.49;4.11;0.34
queue2;queue2.py;20.72;19.27;1.40
queue3;queue3.py;34.17;31.92;2.17
queue4;queue4.py;35.60;33.04;2.39
queue5;queue5.py;4.42;4.03;0.35
sort1;sort1.py;132.06;48.02;3.58
stack1;stack1.py;30.80;28.47;2.13
stack2;stack2.py;5.17;4.79;0.34
stack3;stack3.py;400.42;20.92;5.51
stack4;stack4.py;19.84;18.34;1.39
stack5;stack5.py;1.73;1.58;0.13
