project;filename;mutants;killed;incompetent;timeout;survived;mutation score
binarySearchTree1;binarySearchTree1.py;239;91;36;0;112;53.14
binarySearchTree2;binarySearchTree2.py;248;105;34;0;109;56.05
binarySearchTree3;binarySearchTree3.py;511;184;71;1;255;50.10
binarySearchTree4;binarySearchTree4.py;53;27;13;0;13;75.47
identifier1;identifier1.py;100;58;4;0;38;62.00
linkedList1;linkedList1.py;221;98;42;1;80;63.80
linkedList2;linkedList2.py;106;66;20;3;17;83.96
linkedList3;linkedList3.py;121;74;24;5;18;85.12
linkedList4;linkedList4.py;110;73;23;3;11;90.00
linkedList5;linkedList5.py;136;79;18;5;34;75.00
queue1;queue1.py;67;33;26;0;8;88.06
queue2;queue2.py;186;104;35;6;41;77.96
queue3;queue3.py;222;137;44;1;40;81.98
queue4;queue4.py;198;111;38;1;48;75.76
queue5;queue5.py;48;28;14;0;6;87.50
sort1;sort1.py;115;24;18;0;73;36.52
stack1;stack1.py;129;55;18;0;56;56.59
stack2;stack2.py;29;19;8;0;2;93.10
stack3;stack3.py;155;95;33;2;25;83.87
stack4;stack4.py;122;79;27;3;13;89.34
stack5;stack5.py;35;20;11;0;4;88.57
