project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;60.54;56.15;4.20
binarySearchTree2;binarySearchTree2.py;62.81;58.48;3.98
binarySearchTree3;binarySearchTree3.py;101.21;94.64;6.55
binarySearchTree4;binarySearchTree4.py;4.72;4.34;0.33
identifier1;identifier1.py;73.53;30.60;2.58
linkedList1;linkedList1.py;51.74;48.38;3.16
linkedList2;linkedList2.py;11.62;10.64;0.91
linkedList3;linkedList3.py;135.50;13.42;1.06
linkedList4;linkedList4.py;18.36;16.87;1.34
linkedList5;linkedList5.py;20.95;19.41;1.52
queue1;queue1.py;3.77;3.41;0.32
queue2;queue2.py;19.91;18.51;1.38
queue3;queue3.py;41.79;38.87;2.53
queue4;queue4.py;34.72;32.06;2.18
queue5;queue5.py;4.55;4.14;0.37
sort1;sort1.py;445.69;78.86;5.44
stack1;stack1.py;35.03;32.65;2.19
stack2;stack2.py;4.91;4.51;0.35
stack3;stack3.py;146.80;24.47;1.73
stack4;stack4.py;21.12;19.68;1.35
stack5;stack5.py;2.02;1.86;0.15
