project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;30;25;5;83.33
binarySearchTree2;binarySearchTree2.py;25;17;8;68.00
binarySearchTree3;binarySearchTree3.py;25;19;6;76.00
binarySearchTree4;binarySearchTree4.py;20;19;1;95.00
identifier1;identifier1.py;30;24;6;80.00
linkedList1;linkedList1.py;23;22;1;95.65
linkedList2;linkedList2.py;29;23;6;79.31
linkedList3;linkedList3.py;27;18;9;66.67
linkedList4;linkedList4.py;28;22;6;78.57
linkedList5;linkedList5.py;24;20;4;83.33
queue1;queue1.py;20;14;6;70.00
queue2;queue2.py;22;18;4;81.82
queue3;queue3.py;29;23;6;79.31
queue4;queue4.py;24;18;6;75.00
queue5;queue5.py;21;19;2;90.48
sort1;sort1.py;34;15;19;44.12
stack1;stack1.py;32;11;21;34.38
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;27;18;9;66.67
stack4;stack4.py;30;25;5;83.33
stack5;stack5.py;17;8;9;47.06
