project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;84.56;80.74;4.12
binarySearchTree2;binarySearchTree2.py;44.24;40.86;3.82
binarySearchTree3;binarySearchTree3.py;190.82;181.57;10.18
binarySearchTree4;binarySearchTree4.py;5.13;4.39;0.81
identifier1;identifier1.py;10.01;8.64;1.53
linkedList1;linkedList1.py;50.49;47.13;3.75
linkedList2;linkedList2.py;26.70;25.20;1.70
linkedList3;linkedList3.py;22.54;20.77;2.03
linkedList4;linkedList4.py;31.20;29.67;1.73
linkedList5;linkedList5.py;62.46;57.46;5.29
queue1;queue1.py;5.49;4.84;0.73
queue2;queue2.py;51.54;48.53;3.37
queue3;queue3.py;37.31;34.16;3.56
queue4;queue4.py;33.11;30.50;2.94
queue5;queue5.py;3.81;3.27;0.60
sort1;sort1.py;19.39;17.82;1.77
stack1;stack1.py;15.46;13.86;1.82
stack2;stack2.py;2.63;2.25;0.42
stack3;stack3.py;29.41;27.13;2.59
stack4;stack4.py;33.41;31.61;1.97
stack5;stack5.py;3.01;2.59;0.47
