project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;338.83;105.78;7.08
binarySearchTree2;binarySearchTree2.py;323.11;103.77;6.58
binarySearchTree3;binarySearchTree3.py;1285.20;421.78;18.52
binarySearchTree4;binarySearchTree4.py;37.17;11.25;1.19
identifier1;identifier1.py;71.86;21.29;2.34
linkedList1;linkedList1.py;275.73;86.43;6.07
linkedList2;linkedList2.py;103.98;31.91;2.64
linkedList3;linkedList3.py;99.00;30.74;2.66
linkedList4;linkedList4.py;103.01;32.21;2.47
linkedList5;linkedList5.py;178.90;55.40;4.68
queue1;queue1.py;39.93;11.96;1.28
queue2;queue2.py;217.39;69.45;4.84
queue3;queue3.py;252.00;81.38;5.68
queue4;queue4.py;214.53;67.91;4.84
queue5;queue5.py;27.51;7.91;1.04
sort1;sort1.py;106.93;33.08;2.42
stack1;stack1.py;107.76;32.75;2.87
stack2;stack2.py;19.08;5.54;0.73
stack3;stack3.py;147.41;46.00;3.64
stack4;stack4.py;116.68;36.41;2.72
stack5;stack5.py;21.85;6.23;0.70
