project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;56.84;53.14;4.58
binarySearchTree2;binarySearchTree2.py;77.82;72.65;6.27
binarySearchTree3;binarySearchTree3.py;170.84;160.45;12.58
binarySearchTree4;binarySearchTree4.py;12.61;11.68;1.08
identifier1;identifier1.py;43.55;40.41;3.60
linkedList1;linkedList1.py;81.19;76.04;6.28
linkedList2;linkedList2.py;32.45;29.91;2.97
linkedList3;linkedList3.py;44.57;41.58;3.45
linkedList4;linkedList4.py;33.00;30.44;2.92
linkedList5;linkedList5.py;51.49;48.57;3.66
queue1;queue1.py;20.04;18.69;1.58
queue2;queue2.py;56.42;52.49;4.67
queue3;queue3.py;76.55;71.64;6.01
queue4;queue4.py;54.61;50.76;4.58
queue5;queue5.py;15.13;13.95;1.40
sort1;sort1.py;46.04;42.74;3.76
stack1;stack1.py;46.84;43.24;4.27
stack2;stack2.py;5.01;4.54;0.50
stack3;stack3.py;54.29;50.76;4.00
stack4;stack4.py;30.98;28.43;2.94
stack5;stack5.py;6.57;6.03;0.58
