project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;67.53;63.99;3.87
binarySearchTree2;binarySearchTree2.py;42.33;39.07;3.69
binarySearchTree3;binarySearchTree3.py;184.98;176.04;9.84
binarySearchTree4;binarySearchTree4.py;4.89;4.29;0.68
identifier1;identifier1.py;9.48;8.16;1.49
linkedList1;linkedList1.py;48.58;45.60;3.36
linkedList2;linkedList2.py;30.74;29.19;1.74
linkedList3;linkedList3.py;22.15;20.45;1.94
linkedList4;linkedList4.py;30.86;29.29;1.76
linkedList5;linkedList5.py;57.52;52.60;5.19
queue1;queue1.py;5.39;4.63;0.84
queue2;queue2.py;50.34;47.50;3.19
queue3;queue3.py;36.86;33.59;3.66
queue4;queue4.py;31.47;29.06;2.72
queue5;queue5.py;3.73;3.22;0.57
sort1;sort1.py;18.65;17.25;1.60
stack1;stack1.py;14.55;12.94;1.82
stack2;stack2.py;2.57;2.17;0.43
stack3;stack3.py;52.58;49.70;3.29
stack4;stack4.py;33.15;31.49;1.85
stack5;stack5.py;2.91;2.45;0.50
