project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;24;22;2;91.67
binarySearchTree2;binarySearchTree2.py;28;20;8;71.43
binarySearchTree3;binarySearchTree3.py;29;19;10;65.52
binarySearchTree4;binarySearchTree4.py;20;18;2;90.00
identifier1;identifier1.py;26;22;4;84.62
linkedList1;linkedList1.py;24;23;1;95.83
linkedList2;linkedList2.py;30;28;2;93.33
linkedList3;linkedList3.py;28;15;13;53.57
linkedList4;linkedList4.py;26;11;15;42.31
linkedList5;linkedList5.py;17;15;2;88.24
queue1;queue1.py;18;13;5;72.22
queue2;queue2.py;22;14;8;63.64
queue3;queue3.py;24;12;12;50.00
queue4;queue4.py;23;17;6;73.91
queue5;queue5.py;18;13;5;72.22
sort1;sort1.py;25;6;19;24.00
stack1;stack1.py;25;13;12;52.00
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;32;17;15;53.12
stack4;stack4.py;29;20;9;68.97
stack5;stack5.py;17;8;9;47.06
