project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;57.33;23.10;1.34
binarySearchTree2;binarySearchTree2.py;48.59;19.88;1.19
binarySearchTree3;binarySearchTree3.py;68.50;27.85;1.70
binarySearchTree4;binarySearchTree4.py;30.71;12.19;0.78
identifier1;identifier1.py;36.01;14.44;0.96
linkedList1;linkedList1.py;55.30;22.69;1.25
linkedList2;linkedList2.py;48.45;19.53;1.32
linkedList3;linkedList3.py;42.21;17.10;1.02
linkedList4;linkedList4.py;36.41;14.78;0.90
linkedList5;linkedList5.py;55.27;22.86;1.09
queue1;queue1.py;24.44;9.79;0.73
queue2;queue2.py;40.11;16.51;1.02
queue3;queue3.py;36.26;14.98;0.88
queue4;queue4.py;38.95;15.57;1.06
queue5;queue5.py;25.04;10.03;0.66
sort1;sort1.py;43.33;18.23;0.88
stack1;stack1.py;33.87;13.89;1.05
stack2;stack2.py;17.93;7.09;0.51
stack3;stack3.py;44.83;18.62;1.12
stack4;stack4.py;44.05;17.79;1.17
stack5;stack5.py;21.81;8.88;0.61
