project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;41;30;11;73.17
binarySearchTree2;binarySearchTree2.py;27;13;14;48.15
binarySearchTree3;binarySearchTree3.py;20;5;15;25.00
binarySearchTree4;binarySearchTree4.py;22;17;5;77.27
identifier1;identifier1.py;35;26;9;74.29
linkedList1;linkedList1.py;23;21;2;91.30
linkedList2;linkedList2.py;27;22;5;81.48
linkedList3;linkedList3.py;30;21;9;70.00
linkedList4;linkedList4.py;30;23;7;76.67
linkedList5;linkedList5.py;17;11;6;64.71
queue1;queue1.py;21;15;6;71.43
queue2;queue2.py;25;18;7;72.00
queue3;queue3.py;35;23;12;65.71
queue4;queue4.py;25;12;13;48.00
queue5;queue5.py;21;18;3;85.71
sort1;sort1.py;26;15;11;57.69
stack1;stack1.py;33;5;28;15.15
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;25;15;10;60.00
stack4;stack4.py;25;17;8;68.00
stack5;stack5.py;17;9;8;52.94
