project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;212.64;91.81;4.63
binarySearchTree2;binarySearchTree2.py;217.14;92.04;4.49
binarySearchTree3;binarySearchTree3.py;655.54;277.30;11.81
binarySearchTree4;binarySearchTree4.py;39.68;15.92;0.95
identifier1;identifier1.py;108.02;45.21;2.58
linkedList1;linkedList1.py;327.59;139.52;5.62
linkedList2;linkedList2.py;89.91;38.36;2.16
linkedList3;linkedList3.py;91.78;38.24;2.30
linkedList4;linkedList4.py;85.19;35.48;2.03
linkedList5;linkedList5.py;267.87;116.10;3.52
queue1;queue1.py;46.27;18.88;1.16
queue2;queue2.py;212.60;89.64;4.01
queue3;queue3.py;210.07;88.79;4.82
queue4;queue4.py;173.83;72.59;3.94
queue5;queue5.py;35.73;14.66;0.89
sort1;sort1.py;119.80;49.47;2.73
stack1;stack1.py;114.15;47.85;3.08
stack2;stack2.py;12.54;4.71;0.32
stack3;stack3.py;143.78;60.95;2.99
stack4;stack4.py;89.07;37.18;2.22
stack5;stack5.py;14.93;5.96;0.45
