project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;41;33;8;80.49
binarySearchTree2;binarySearchTree2.py;27;13;14;48.15
binarySearchTree3;binarySearchTree3.py;20;8;12;40.00
binarySearchTree4;binarySearchTree4.py;22;21;1;95.45
identifier1;identifier1.py;35;25;10;71.43
linkedList1;linkedList1.py;23;21;2;91.30
linkedList2;linkedList2.py;27;22;5;81.48
linkedList3;linkedList3.py;30;10;20;33.33
linkedList4;linkedList4.py;30;20;10;66.67
linkedList5;linkedList5.py;17;12;5;70.59
queue1;queue1.py;21;15;6;71.43
queue2;queue2.py;25;24;1;96.00
queue3;queue3.py;35;20;15;57.14
queue4;queue4.py;25;13;12;52.00
queue5;queue5.py;21;19;2;90.48
sort1;sort1.py;27;13;14;48.15
stack1;stack1.py;33;14;19;42.42
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;26;13;13;50.00
stack4;stack4.py;25;14;11;56.00
stack5;stack5.py;17;9;8;52.94
