project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;22;21;1;95.45
binarySearchTree2;binarySearchTree2.py;27;22;5;81.48
binarySearchTree3;binarySearchTree3.py;21;14;7;66.67
binarySearchTree4;binarySearchTree4.py;20;20;0;100.00
identifier1;identifier1.py;29;26;3;89.66
linkedList1;linkedList1.py;25;22;3;88.00
linkedList2;linkedList2.py;29;24;5;82.76
linkedList3;linkedList3.py;30;21;9;70.00
linkedList4;linkedList4.py;27;23;4;85.19
linkedList5;linkedList5.py;31;29;2;93.55
queue1;queue1.py;18;9;9;50.00
queue2;queue2.py;30;29;1;96.67
queue3;queue3.py;29;11;18;37.93
queue4;queue4.py;25;21;4;84.00
queue5;queue5.py;16;16;0;100.00
sort1;sort1.py;29;10;19;34.48
stack1;stack1.py;23;15;8;65.22
stack2;stack2.py;13;11;2;84.62
stack3;stack3.py;28;18;10;64.29
stack4;stack4.py;32;24;8;75.00
stack5;stack5.py;17;10;7;58.82
