project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;68.28;63.63;4.80
binarySearchTree2;binarySearchTree2.py;70.70;66.02;4.15
binarySearchTree3;binarySearchTree3.py;115.52;108.24;8.00
binarySearchTree4;binarySearchTree4.py;5.12;4.66;0.44
identifier1;identifier1.py;76.60;33.83;2.62
linkedList1;linkedList1.py;46.77;43.71;3.17
linkedList2;linkedList2.py;12.61;11.70;0.89
linkedList3;linkedList3.py;136.03;14.66;1.13
linkedList4;linkedList4.py;19.91;18.43;1.43
linkedList5;linkedList5.py;24.22;22.57;1.78
queue1;queue1.py;4.04;3.73;0.29
queue2;queue2.py;20.07;18.59;1.55
queue3;queue3.py;27.40;25.52;1.85
queue4;queue4.py;33.64;31.13;2.50
queue5;queue5.py;4.30;3.90;0.36
sort1;sort1.py;446.75;80.76;5.47
stack1;stack1.py;31.07;28.84;2.17
stack2;stack2.py;4.83;4.43;0.35
stack3;stack3.py;342.26;20.22;1.56
stack4;stack4.py;20.14;18.69;1.43
stack5;stack5.py;1.71;1.56;0.14
