Operador,Mortos,Vivos
AOR,6,0
ASR,6,0
CDI,13,2
COD,1,0
COI,26,0
CRP,21,2
OIL,2,0
ROR,19,2
SDI,15,0
SDL,60,5
SVD,40,0
ZIL,2,0
